Region,Country,Emissions,Source,Type,Segment,Reason,Base Year,Emissions Rank,Energy Rank,Notes,Collection Year
Europe,Norway,41.1,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Other countries in Europe,448.19,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Other EU17 countries,600.06,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Other EU7 countries,55.6,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Poland,865.29,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Romania,285.41,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Slovenia,7.73,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Sweden,31.99,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Ukraine,553.42,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,United Kingdom,274.63,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
