GEM Mine ID,Country,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),GEM Wiki Page (Non-ENG),Status,Capacity (Mtpa),Opening Year,ROM or Saleable,"Coal Output (Annual, Mt) 2023",Output Accuracy,"Coal Output (Annual, Mt) 2022",Output Accuracy,"Coal Output (Annual, Mt) 2021",Output Accuracy,"Coal Output (Annual, Mt) 2020",Output Accuracy,"Coal Output (Annual, Mt) 2019",Output Accuracy,"Coal Output (Annual, Mt) 2018",Output Accuracy,"Coal Output (Annual, Mt) 2017",Output Accuracy
M3044,China,Chengta Coal Mine,,?????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E9%94%A6%E6%B3%B0%E5%9F%8E%E5%A1%94%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%9F%8E%E5%A1%94%E7%85%A4%E7%9F%BF,Operating,1.8,2023,ROM,1.34,Estimated,-,,-,,-,,-,,-,,-,
M1998,China,Jinjia Coal Mine,,???????????????,https://www.gem.wiki/%E8%B4%B5%E5%B7%9E%E7%9B%98%E6%B1%9F%E7%B2%BE%E7%85%A4%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%87%91%E4%BD%B3%E7%9F%BF,Operating,3,1996,ROM,2.23,Estimated,2.25,Estimated,2.24,Estimated,-,,1.52,Reported,1.39,Reported,1.16,Reported
M3743,China,Jinsha County Xinda Coal Mine East Well,,??????????????,https://www.gem.wiki/%E8%B4%B5%E5%B7%9E%E9%87%91%E6%B2%99%E5%8E%BF%E9%AB%98%E5%9D%AA%E9%95%87%E9%91%AB%E8%BE%BE%E7%85%A4%E7%9F%BF,Operating,1,-,ROM,0.74,Estimated,0.22,Estimated,0.22,Estimated,-,,0.21,Estimated,0.21,Estimated,-,
M3036,China,Changtan Surface Coal Mine,,???????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%B1%87%E8%83%BD%E7%85%A4%E7%94%B5%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%95%BF%E6%BB%A9%E9%9C%B2%E5%A4%A9%E7%85%A4%E7%9F%BF,Operating,20,2021,ROM,14.88,Estimated,14.98,Estimated,14.90,Estimated,-,,-,,-,,-,
M1852,China,Dalong Coal Mine,,?????????????????,https://www.gem.wiki/%E9%93%81%E6%B3%95%E7%85%A4%E4%B8%9A%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%A4%A7%E9%9A%86%E7%9F%BF,Operating,2.1,1972,ROM,1.56,Estimated,1.57,Estimated,1.56,Estimated,1.47,Estimated,1.48,Estimated,1.91,Estimated,-,
M0208,China,Dingji Coal Mine,,????????????,https://www.gem.wiki/%E6%B7%AE%E6%B2%AA%E7%85%A4%E7%94%B5%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%B8%81%E9%9B%86%E7%85%A4%E7%9F%BF,Operating,6,2007,ROM,4.46,Estimated,5.74,Reported,5.95,Reported,5.87,Reported,5.48,Reported,4.00,Reported,3.95,Reported
M1127,China,Gubei Coal Mine,,??????????????,https://www.gem.wiki/%E6%B7%AE%E6%B5%99%E7%85%A4%E7%94%B5%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%A1%BE%E5%8C%97%E7%85%A4%E7%9F%BF,Operating,4,2007,ROM,2.98,Estimated,3.77,Reported,3.60,Reported,3.92,Reported,4.00,Reported,8.99,Reported,9.00,Reported
M0229,China,Guqiao Coal Mine,,??????????????????,https://www.gem.wiki/%E6%B7%AE%E5%8D%97%E7%9F%BF%E4%B8%9A%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%A1%BE%E6%A1%A5%E7%85%A4%E7%9F%BF,Operating,9,2007,ROM,6.70,Estimated,9.50,Reported,9.22,Reported,8.99,Reported,8.94,Reported,12.30,Reported,12.21,Reported
M1945,China,Hengda Coal Mine,,??????????????????,https://www.gem.wiki/%E9%98%9C%E6%96%B0%E7%9F%BF%E4%B8%9A%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E6%81%92%E5%A4%A7%E7%85%A4%E7%9F%BF,Operating,1.2,1987,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M1947,China,Hengyuan Coal Mine,,??????????????,https://www.gem.wiki/%E5%AE%89%E5%BE%BD%E6%81%92%E6%BA%90%E7%85%A4%E7%94%B5%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF,Operating,2,1993,ROM,1.49,Estimated,1.86,Reported,1.97,Reported,1.83,Reported,1.81,Reported,2.00,Reported,2.00,Reported
