Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
M0014,Boggabri Coal Mine, ,Australia,coal,Proposed,-30.6116182,150.1550389,Approximate,Boggabri Coal Operations,Idemitsu Kosan Co Ltd [100.0%],,Surface,,60.0,Bituminous,Thermal & Met,2.6,0.2223086,0.14307436,0.18335694,0.16646792,0.17167763,0.16066086,0.15449032,0.15757497,0.16320029,0.15382823,0.2165892,0.19848658
M0016,Broadmeadow Coal Mine, ,Australia,coal,Operating,-21.8025693,147.98,Exact,BM Alliance Coal Operations Pty Ltd,BHP [50.0%]; Mitsubishi Corp [50.0%],8.395,Underground,,500.0,Bituminous,Met,185.4,0.20737761,0.18277559,0.19109581,0.18773443,0.17858368,0.17372905,0.17247045,0.19428708,0.21646354,0.22551042,0.23708066,0.23026936
M0017,Bulga Coal Mine, ,Australia,coal,Proposed,-32.6795434,151.1000279,Exact,Bulga Coal Management [BCM],Glencore PLC [72.6%]; ENEOS Australia Pty Ltd [13.3%]; Nippon Steel Corp [12.5%],,Surface,0.2,90.0,Bituminous,Thermal,,0.15726918,0.09496233,0.1059897,0.10312937,0.100565985,0.10242603,0.10807667,0.124141246,0.13496777,0.14784183,0.1428866,0.09678918
M0017,Bulga Coal Mine, ,Australia,coal,Operating,-32.6795434,151.1000279,Exact,Bulga Coal Management [BCM],Glencore PLC [72.6%]; ENEOS Australia Pty Ltd [13.3%]; Nippon Steel Corp [12.5%],6.35,Underground & Surface,55,60.0,Bituminous,Thermal & Met,33.3,0.15726918,0.09496233,0.1059897,0.10312937,0.100565985,0.10242603,0.10807667,0.124141246,0.13496777,0.14784183,0.1428866,0.09678918
M0018,Byerwen Coal Mine, ,Australia,coal,Operating,-21.242828,147.835392,Exact,Byerwen Coal,QCoal [85.0%]; JFE Holdings Inc [15.0%],6.197,Surface,69.97,60.0,Bituminous,Thermal & Met,32.5,0.16478585,0.18623275,0.16742052,0.17206156,0.16304597,0.16162127,0.16718854,0.19070123,0.22417688,0.2437112,0.26451546,0.18798722
M0019,Callide Coal Mine, ,Australia,coal,Operating,-24.310921,150.622173,Exact,Batchfire Resources,Batchfire Resources [100%],7.593,Surface,176,50.0,Subbituminous,Thermal,9.1,0.13936533,0.09887664,0.12417315,0.1199391,0.122800276,0.12577057,0.13006075,0.14250714,0.16341928,0.1774205,0.16544732,0.1371529
M0020,Cameby Downs Coal Mine, ,Australia,coal,Proposed,-26.6540316,150.3354945,Exact,Syntech Resources,Shandong Energy Group Co Ltd [70.0%]; Shandong Guohui Investment Co Ltd [20.0%]; Shandong Caixin Asset Operation Co Ltd [10.0%],,Surface,79.11,50.0,Subbituminous,Thermal,3.6,0.23468433,0.18853994,0.17353302,0.18030761,0.18146314,0.1872771,0.19874318,0.21013848,0.22127093,0.2404013,0.23649473,0.21046989
M0020,Cameby Downs Coal Mine, ,Australia,coal,Operating,-26.6181915,150.3548193,Exact,Syntech Resources,Shandong Energy Group Co Ltd [70.0%]; Shandong Guohui Investment Co Ltd [20.0%]; Shandong Caixin Asset Operation Co Ltd [10.0%],2.86,Surface,,60.0,Bituminous,Thermal,15.0,0.2493963,0.2200844,0.2056633,0.19157603,0.17010769,0.1718199,0.1732489,0.18600294,0.19783285,0.22287306,0.23041967,0.21845603
M0021,CapCoal Mine Complex, ,Australia,coal,Operating,-22.990997,148.580506,Exact,Capcoal,Anglo American PLC [70.0%]; Mitsui & Co Ltd [30.0%],8.403,Underground & Surface,340,60.0,Bituminous,Thermal & Met,44.1,0.21010286,0.14045519,0.18917044,0.18369144,0.17183718,0.1660938,0.16335711,0.18619518,0.21194896,0.22594664,0.23700759,0.16310675
M0022,Carborough Downs Coal Mine, ,Australia,coal,Operating,-21.9502,148.2094,Exact,Fitzroy Australia Resources Pty Ltd,American Metals & Coal International Inc [50.0%]; ITOCHU Corp [50.0%],2.823,Underground,,500.0,Bituminous,Thermal & Met,62.3,0.20757794,0.15580289,0.20127332,0.15241528,0.18907386,0.17882083,0.18036436,0.2027232,0.23424198,0.24392614,0.1925994,0.17696379
M0022,Carborough Downs Coal Mine, ,Australia,coal,Proposed,-21.9502,148.2094,Exact,Fitzroy Australia Resources Pty Ltd,American Metals & Coal International Inc [50.0%]; ITOCHU Corp [50.0%],,Underground,,500.0,Bituminous,Met,55.2,0.20757794,0.15580289,0.20127332,0.15241528,0.18907386,0.17882083,0.18036436,0.2027232,0.23424198,0.24392614,0.1925994,0.17696379
M0023,Carmichael Coal Project, ,Australia,coal,Operating,-22.073611,146.329722,Approximate,Adani Mining Pty Ltd,Adani Enterprises Ltd [100.0%],2.794,Underground & Surface,447,300.0,Subbituminous,Thermal,14.8,0.23894864,0.208575,0.20928673,0.20495225,0.17853074,0.17216547,0.17198491,0.2004338,0.22090423,0.24117969,0.25096515,0.23712474
M0023,Carmichael Coal Project, ,Australia,coal,Proposed,-22.073611,146.329722,Approximate,Adani Mining Pty Ltd,Adani Enterprises Ltd [100.0%],,Underground & Surface,447,60.0,Subbituminous,Thermal,43.2,0.23894864,0.208575,0.20928673,0.20495225,0.17853074,0.17216547,0.17198491,0.2004338,0.22090423,0.24117969,0.25096515,0.23712474
M0023,Carmichael Coal Project, ,Australia,coal,Proposed,-22.073611,146.329722,Approximate,Adani Mining Pty Ltd,Adani Enterprises Ltd [100.0%],,Underground & Surface,447,400.0,Subbituminous,Thermal,115.2,0.23894864,0.208575,0.20928673,0.20495225,0.17853074,0.17216547,0.17198491,0.2004338,0.22090423,0.24117969,0.25096515,0.23712474
