Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
OG0013204,Bear Ck Mannville,pool,Canada,gas,Operating,54.558,-109.567,exact,,, , , , , , , ,76.99524,71.17874,60.995274,48.970577,38.469734,32.293022,32.154682,38.185978,48.58434,60.61111,71.02645,76.96041
OG0013205,Bellegarde Tilston,pool,Canada,oil,Operating,49.502,-101.578,exact,,, , , , , , , ,71.89524,66.07874,55.895275,43.87058,33.369736,27.193022,27.054684,33.085976,43.48434,55.51111,65.926445,71.86041
OG0013207,Bench Upper Shaunavon,pool,Canada,oil,Operating,49.897,-108.451,exact,,, , , , , , , ,72.295235,66.47874,56.295273,44.270576,33.769733,27.593021,27.454683,33.485977,43.88434,55.91111,66.32645,72.260414
OG0013214,Benson Midale,pool,Canada,oil,Operating,49.489,-103.086,exact,,, , , , , , , ,71.89524,66.07874,55.895275,43.87058,33.369736,27.193022,27.054684,33.085976,43.48434,55.51111,65.926445,71.86041
OG0013216,Beverley Cantuar,pool,Canada,oil,Operating,50.244,-108.276,exact,,, , , , , , , ,72.59524,66.77874,56.595276,44.57058,34.069736,27.89302,27.754683,33.785976,44.18434,56.21111,66.62645,72.56041
OG0013218,Beverley N Cantuar,pool,Canada,oil,Operating,50.297,-108.284,exact,,, , , , , , , ,72.69524,66.87874,56.695274,44.670578,34.169735,27.993021,27.854683,33.885975,44.28434,56.31111,66.72645,72.660416
OG0013219,Beverley Roseray,pool,Canada,oil,Operating,50.277,-108.2,exact,,, , , , , , , ,72.69524,66.87874,56.695274,44.670578,34.169735,27.993021,27.854683,33.885975,44.28434,56.31111,66.72645,72.660416
OG0013220,Beverley West Cantuar,pool,Canada,oil,Operating,50.247,-108.358,exact,,, , , , , , , ,72.59524,66.77874,56.595276,44.57058,34.069736,27.89302,27.754683,33.785976,44.18434,56.21111,66.62645,72.56041
OG0013221,Big Gully East Gp,pool,Canada,oil,Operating,53.276,-109.497,exact,,, , , , , , , ,75.69524,69.87874,59.695274,47.670578,37.169735,30.993021,30.854683,36.885975,47.28434,59.31111,69.72645,75.660416
OG0013224,Big Gully East Sparky,pool,Canada,oil,Operating,53.276,-109.497,exact,,, , , , , , , ,75.69524,69.87874,59.695274,47.670578,37.169735,30.993021,30.854683,36.885975,47.28434,59.31111,69.72645,75.660416
OG0013225,Big Gully East Waseca,pool,Canada,oil,Operating,53.276,-109.497,exact,,, , , , , , , ,75.69524,69.87874,59.695274,47.670578,37.169735,30.993021,30.854683,36.885975,47.28434,59.31111,69.72645,75.660416
OG0013226,Big Gully Mclaren,pool,Canada,oil,Operating,53.27,-109.592,exact,,, , , , , , , ,75.69524,69.87874,59.695274,47.670578,37.169735,30.993021,30.854683,36.885975,47.28434,59.31111,69.72645,75.660416
OG0013227,Big Gully N Lloyd,pool,Canada,oil,Operating,53.345,-109.691,exact,,, , , , , , , ,75.69524,69.87874,59.695274,47.670578,37.169735,30.993021,30.854683,36.885975,47.28434,59.31111,69.72645,75.660416
OG0013229,Big Gully N Sparky,pool,Canada,oil,Operating,53.345,-109.691,exact,,, , , , , , , ,75.69524,69.87874,59.695274,47.670578,37.169735,30.993021,30.854683,36.885975,47.28434,59.31111,69.72645,75.660416
OG0013230,Big Gully Sparky,pool,Canada,oil,Operating,53.27,-109.592,exact,,, , , , , , , ,75.69524,69.87874,59.695274,47.670578,37.169735,30.993021,30.854683,36.885975,47.28434,59.31111,69.72645,75.660416
OG0013231,Big Gully Waseca,pool,Canada,oil,Operating,53.27,-109.592,exact,,, , , , , , , ,75.69524,69.87874,59.695274,47.670578,37.169735,30.993021,30.854683,36.885975,47.28434,59.31111,69.72645,75.660416
OG0013232,Big Marsh Lk Tilston,pool,Canada,oil,Operating,49.741,-102.311,exact,,, , , , , , , ,72.09524,66.27874,56.095276,44.07058,33.569736,27.39302,27.254683,33.285976,43.68434,55.71111,66.12645,72.06041
OG0013233,Bigstick 2nd White Specks,pool,Canada,gas,Operating,50.135,-109.651,exact,,, , , , , , , ,72.49524,66.67874,56.495274,44.470577,33.969734,27.793022,27.654682,33.685978,44.08434,56.11111,66.52645,72.46041
OG0013234,Bolney Colony-Mclaren,pool,Canada,oil,Operating,53.537,-109.369,exact,,, , , , , , , ,75.89524,70.07874,59.895275,47.87058,37.369736,31.193022,31.054684,37.085976,47.48434,59.51111,69.926445,75.86041
OG0013235,Bone Creek U Shaunavon,pool,Canada,oil,Operating,49.857,-108.495,exact,,, , , , , , , ,72.295235,66.47874,56.295273,44.270576,33.769733,27.593021,27.454683,33.485977,43.88434,55.91111,66.32645,72.260414
OG0013236,Bone Creek W Upper Shaun,pool,Canada,oil,Operating,49.889,-108.57,exact,,, , , , , , , ,72.295235,66.47874,56.295273,44.270576,33.769733,27.593021,27.454683,33.485977,43.88434,55.91111,66.32645,72.260414
OG0013237,Branch Lake Colony,pool,Canada,gas,Operating,54.085,-109.523,exact,,, , , , , , , ,76.49524,70.67874,60.495274,48.470577,37.969734,31.793022,31.654682,37.685978,48.08434,60.11111,70.52645,76.46041
OG0013242,Bronson Lake Colony,pool,Canada,gas,Operating,53.861,-109.799,exact,,, , , , , , , ,76.295235,70.47874,60.295277,48.270576,37.769733,31.593021,31.454683,37.485977,47.88434,59.91111,70.32645,76.260414
OG0013245,Browning Frobisher-Alida,pool,Canada,oil,Operating,49.504,-102.64,exact,,, , , , , , , ,71.89524,66.07874,55.895275,43.87058,33.369736,27.193022,27.054684,33.085976,43.48434,55.51111,65.926445,71.86041
OG0013247,Browning South Frobisher,pool,Canada,oil,Operating,49.462,-102.607,exact,,, , , , , , , ,71.89524,66.07874,55.895275,43.87058,33.369736,27.193022,27.054684,33.085976,43.48434,55.51111,65.926445,71.86041
OG0013249,Bryant Midale,pool,Canada,oil,Operating,49.399,-102.945,exact,,, , , , , , , ,71.795235,65.97874,55.795273,43.770576,33.269733,27.093021,26.954683,32.985977,43.38434,55.41111,65.82645,71.760414
OG0013251,Buffalo Coulee N Bakken,pool,Canada,oil,Operating,51.785,-109.383,exact,,, , , , , , , ,74.19524,68.37874,58.195274,46.170578,35.669735,29.493021,29.354683,35.385975,45.78434,57.81111,68.22645,74.160416
OG0013253,Burrows Red Jacket,pool,Canada,oil,Operating,50.317,-102.035,exact,,, , , , , , , ,72.69524,66.87874,56.695274,44.670578,34.169735,27.993021,27.854683,33.885975,44.28434,56.31111,66.72645,72.660416
