Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
M0042,Glendell Coal Mine, ,Australia,coal,Operating,-32.45121527,151.0783194,Exact,Mt Owen Pty Limited,Glencore PLC [100.0%],2.53,Surface,,60.0,Bituminous,Thermal,13.3,0,0,0,0,0,0,0,0,0,0,0,0
M0043,Goonyella-Riverside Coal Mine, ,Australia,coal,Operating,-21.792321,147.962045,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],22.152,Surface,,60.0,Bituminous,Met,116.3,0,0,0,0,0,0,0,0,0,0,0,0
M0044,Gregory Crinum Coal Mines, ,Australia,coal,Operating,-23.1491384,148.3875874,Exact,Sojitz Blue Pty Ltd,Sojitz Corp [100.0%],2.389,Underground & Surface,,85.0,Bituminous,Met,17.6,0,0,0,0,0,0,0,0,0,0,0,0
M0044,Gregory Crinum Coal Mines, ,Australia,coal,Proposed,-23.1491384,148.3875874,Exact,Sojitz Blue Pty Ltd,Sojitz Corp [100.0%],,Underground & Surface,,85.0,Bituminous,Met,,0,0,0,0,0,0,0,0,0,0,0,0
M0045,Grosvenor Coal Mine, ,Australia,coal,Operating,-21.97420531,148.0106197,Exact,Grosvenor,Anglo American PLC [88.0%]; Nippon Steel Corp [5.0%],1.993,Underground,,500.0,Bituminous,Met,44.0,0,0,0,0,0,0,0,0,0,0,0,0
M0046,Hail Creek Coal Mine, ,Australia,coal,Operating,-21.484811,148.37,Exact,Hail Creek Coal Pty Ltd,Glencore PLC [84.7%]; Marubeni Corp [12.0%],10.784,Surface,210,60.0,Bituminous,Thermal & Met,56.6,0,0,0,0,0,0,0,0,0,0,0,0
M0047,Hillalong Coal Mine, ,Australia,coal,Proposed,-21.416653,148.31,Exact,Shandong Energy Group Co Ltd,Shandong Provincial People's Government State-owned Assets Supervision and Administration Commission [70.0%]; Shandong Guohui Investment Co Ltd [20.0%]; Shandong Caixin Asset Operation Co Ltd [10.0%],,Underground & Surface,,160.0,Bituminous,Thermal & Met,49.7,0,0,0,0,0,0,0,0,0,0,0,0
M0048,Hume Coal Mine, ,Australia,coal,Cancelled,-34.54081,150.284465,Exact,POSCO Holdings Inc,POSCO Holdings Inc [100%],,Underground,5,180.0,Bituminous,Thermal & Met,38.4,0,0,0,0,0,0,0,0,0,0,0,0
M0049,Hunter Valley North Coal Mine, ,Australia,coal,Operating,-32.4657844,150.9734981,Exact,Hunter Valley Operations,Yancoal Australia Ltd [51.0%]; Glencore PLC [49.0%],4.38,Surface,,60.0,Bituminous,Thermal & Met,23.0,0,0,0,0,0,0,0,0,0,0,0,0
M0050,Hunter Valley South Coal Mine, ,Australia,coal,Operating,-32.5245107,150.9819012,Exact,Hunter Valley Operations,Yancoal Australia Ltd [51.0%]; Glencore PLC [49.0%],7.55,Surface,,60.0,Bituminous,Thermal & Met,39.6,0,0,0,0,0,0,0,0,0,0,0,0
M0051,Hutton Coal Mine, ,Australia,coal,Cancelled,-25.951645,148.961201,Exact,Valiant Resources Ltd,Valiant Resources Ltd [100%],,Underground,1469,500.0,Bituminous,Met,529.9,0,0,0,0,0,0,0,0,0,0,0,0
M0051,Hutton Coal Mine, ,Australia,coal,Cancelled,-25.951645,148.961201,Exact,Valiant Resources Ltd,Valiant Resources Ltd [100%],,Underground,1469,500.0,Bituminous,Met,529.9,0,0,0,0,0,0,0,0,0,0,0,0
M0052,Ironbark No. 1 Coal Mine, ,Australia,coal,Operating,-21.97648262,148.2346531,Approximate,Fitzroy Australia Resources Pty Ltd,American Metals & Coal International Inc [50.0%]; ITOCHU Corp [50.0%],0.18,Underground,100,400.0,Bituminous,Thermal & Met,3.6,0,0,0,0,0,0,0,0,0,0,0,0
M0053,Isaac Downs Coal Mine, ,Australia,coal,Operating,-21.97936646,148.1290409,Exact,Stanmore IP South Pty Ltd,Stanmore Resources Ltd [100.0%],4.21,Surface,,60.0,Bituminous,Thermal & Met,22.1,0,0,0,0,0,0,0,0,0,0,0,0
M0054,Isaac Plains East Coal Mine, ,Australia,coal,Mothballed,-21.9718375,148.1132931,Exact,Stanmore Resources Ltd,Stanmore Resources Ltd [100%],2.38,Surface,,60.0,Bituminous,Met,12.5,0,0,0,0,0,0,0,0,0,0,0,0
M0055,Jax Coal Mine, ,Australia,coal,Operating,-20.713736,147.860166,Exact,Thiess,Thiess Group Holdings Pty Ltd [100.0%],2.151,Surface,,60.0,Bituminous,Thermal & Met,11.3,0,0,0,0,0,0,0,0,0,0,0,0
M0056,Jellinbah Coal Mine, ,Australia,coal,Operating,-23.406874,148.950644,Exact,Golding Contractors,NRW Holdings Ltd [100.0%],4.963,Surface,,30.0,Bituminous,Met,14.1,0,0,0,0,0,0,0,0,0,0,0,0
M0057,Karin Coal Mine, ,Australia,coal,Proposed,-23.058371,147.581142,Exact,Vitrinite,Vitrinite [100%],,Underground & Surface,,115.0,Bituminous,Met,16.0,0,0,0,0,0,0,0,0,0,0,0,0
M0058,Kestrel Coal Mine, ,Australia,coal,Operating,-23.236333,148.3583273,Exact,Kestrel Coal Resources,EMR Capital Pty Ltd [52.0%]; PT Adaro Energy Indonesia Tbk [48.0%],7.392,Underground,,250.0,Bituminous,Thermal & Met,115.9,0,0,0,0,0,0,0,0,0,0,0,0
M0059,Kogan Creek Coal Mine, ,Australia,coal,Operating,-26.9384276,150.7743816,Exact,Golding Contractors,NRW Holdings Ltd [100.0%],2.589,Surface,,50.0,Subbituminous,Thermal,3.1,0,0,0,0,0,0,0,0,0,0,0,0
M0060,Lake Vermont Coal Mine, ,Australia,coal,Proposed,-22.3894938,148.3769527,Approximate,Jellinbah Group Pty Ltd,Anglo American PLC [33.0%],,Underground & Surface,82.35,60.0,Bituminous,Thermal & Met,,0,0,0,0,0,0,0,0,0,0,0,0
M0060,Lake Vermont Coal Mine, ,Australia,coal,Operating,-22.4611726,148.4056045,Exact,Jellinbah Group Pty Ltd,Anglo American PLC [33.0%],11.156,Surface,8.2,30.0,Bituminous,Thermal & Met,31.8,0,0,0,0,0,0,0,0,0,0,0,0
M0062,Loy Yang Coal Mine, ,Australia,coal,Operating,-38.2347,146.564,Exact,AGL Loy Yang Pty Ltd,AGL Energy Ltd [100.0%],,Surface,12,200.0,Subbituminous,Thermal,105.0,0,0,0,0,0,0,0,0,0,0,0,0
M0063,Mandalong Coal Mine, ,Australia,coal,Proposed,-33.119111,151.461844,Exact,Centennial Mandalong Pty Ltd,Banpu PCL [100.0%],,Underground,,330.0,Subbituminous,Thermal,2.8,0,0,0,0,0,0,0,0,0,0,0,0
M0063,Mandalong Coal Mine, ,Australia,coal,Operating,-33.119111,151.461844,Exact,Centennial Mandalong Pty Ltd,Banpu PCL [100.0%],2.68,Underground,,300.0,Bituminous,Thermal,46.8,0,0,0,0,0,0,0,0,0,0,0,0
M0064,Mangoola Coal Mine, ,Australia,coal,Operating,-32.294922,150.706712,Exact,Mangoola Coal Operations Pty Ltd,Glencore PLC [100.0%],7.69,Surface,,50.0,Subbituminous,Thermal,9.2,0,0,0,0,0,0,0,0,0,0,0,0
M0064,Mangoola Coal Mine, ,Australia,coal,Proposed,-32.294922,150.706712,Exact,Mangoola Coal Operations Pty Ltd,Glencore PLC [100.0%],,Surface,,50.0,Subbituminous,Thermal,6.0,0,0,0,0,0,0,0,0,0,0,0,0
M0065,Maules Creek Coal Mine, ,Australia,coal,Operating,-30.562606,150.11498,Exact,Maules Creek Joint Venture,Whitehaven Coal Ltd [75.0%]; ITOCHU Corp [15.0%]; J-POWER Co Ltd [10.0%],9.372,Surface,16,300.0,Bituminous,Thermal & Met,153.2,0,0,0,0,0,0,0,0,0,0,0,0
M0066,Maxwell Coal Mine, ,Australia,coal,Operating,-32.433479,150.824735,Exact,Malabar Resources,Malabar Resources [100%],,Underground,,500.0,Bituminous,Met,176.6,0,0,0,0,0,0,0,0,0,0,0,0
M0067,Meandu Coal Mine, ,Australia,coal,Operating,-26.813543,151.911523,Exact,BUMA Australia,PT Bukit Makmur Mandiri Utama [100.0%],6.841,Surface,,50.0,Subbituminous,Thermal,8.2,0,0,0,0,0,0,0,0,0,0,0,0
M0067,Meandu Coal Mine, ,Australia,coal,Proposed,-26.813543,151.911523,Exact,TEC Coal Pty Ltd,PT Bukit Makmur Mandiri Utama [100.0%],,Surface,,50.0,Subbituminous,Thermal,6.4,0,0,0,0,0,0,0,0,0,0,0,0
M0068,Meteor Downs South Coal Mine (MDS), ,Australia,coal,Operating,-24.433867,148.385912,Approximate,Sojitz Blue Pty Ltd,Sojitz Corp [100.0%],1.389,Surface,,60.0,Bituminous,Thermal,7.3,0,0,0,0,0,0,0,0,0,0,0,0
M0069,Middlemount Coal Mine, ,Australia,coal,Operating,-22.848131,148.631626,Exact,Middlemount Coal Limited,Peabody Energy Corp [50.0%]; Yancoal Australia Ltd [50.0%],4.27,Surface,28,50.0,Subbituminous,Thermal & Met,5.1,0,0,0,0,0,0,0,0,0,0,0,0
