Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
M0011,Blackwater Coal Mine, ,Australia,coal,Operating,-23.685585,148.807361,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],14.288,Surface,210,60.0,Bituminous,Thermal & Met,75.0,0.44986564,0.5025621,0.629563,0.71041775,0.64883417,0.6798374,0.74275726,0.8026185,0.6754826,0.707454,0.5473336,0.4377996
M0012,Blair Athol Coal Mine, ,Australia,coal,Operating,-22.703221,147.54353,Exact,Orion Mining,TerraCom Ltd [100.0%],2.782,Surface,,50.0,Subbituminous,Thermal,3.3,0.5297985,0.37870827,0.6460567,0.6254394,0.75549054,0.6851842,0.69842356,0.8378969,0.69068694,0.76260686,0.6618123,0.42640728
M0013,Bloomfield Coal Mine, ,Australia,coal,Operating,-32.7928986,151.5841947,Exact,Bloomfield Collieries Pty Limited,Bloomfield Group [100.0%],0.52,Surface,,60.0,Bituminous,Thermal & Met,2.7,0.29841697,0.32890248,0.31736717,0.57656157,0.52434677,0.56607586,0.5671368,0.61198753,0.49344695,0.45478514,0.29166803,0.3032875
M0014,Boggabri Coal Mine, ,Australia,coal,Operating,-30.6116182,150.1550389,Exact,Boggabri Coal Operations,Idemitsu Kosan Co Ltd [100.0%],5.7,Surface,20.56,60.0,Bituminous,Thermal & Met,29.9,0.6190025,0.632813,0.5358705,0.69159144,0.70387685,0.4958194,0.566117,0.63060534,0.76273555,0.53997946,0.5023146,0.7061484
M0014,Boggabri Coal Mine, ,Australia,coal,Proposed,-30.6116182,150.1550389,Approximate,Boggabri Coal Operations,Idemitsu Kosan Co Ltd [100.0%],,Surface,,60.0,Bituminous,Thermal & Met,2.6,0.6190025,0.632813,0.5358705,0.69159144,0.70387685,0.4958194,0.566117,0.63060534,0.76273555,0.53997946,0.5023146,0.7061484
M0016,Broadmeadow Coal Mine, ,Australia,coal,Operating,-21.8025693,147.98,Exact,BM Alliance Coal Operations Pty Ltd,BHP [50.0%]; Mitsubishi Corp [50.0%],8.395,Underground,,500.0,Bituminous,Met,185.4,0.45092428,0.3737596,0.57721424,0.5559499,0.6994184,0.66999316,0.6808832,0.8026854,0.6906846,0.7409148,0.5622358,0.39698666
M0017,Bulga Coal Mine, ,Australia,coal,Proposed,-32.6795434,151.1000279,Exact,Bulga Coal Management [BCM],Glencore PLC [72.6%]; ENEOS Australia Pty Ltd [13.3%]; Nippon Steel Corp [12.5%],,Surface,0.2,90.0,Bituminous,Thermal,,0.39743394,0.2153361,0.40122998,0.5753789,0.5899979,0.48393178,0.6125595,0.6229729,0.55986756,0.43472475,0.36059266,0.41266054
M0017,Bulga Coal Mine, ,Australia,coal,Operating,-32.6795434,151.1000279,Exact,Bulga Coal Management [BCM],Glencore PLC [72.6%]; ENEOS Australia Pty Ltd [13.3%]; Nippon Steel Corp [12.5%],6.35,Underground & Surface,55,60.0,Bituminous,Thermal & Met,33.3,0.39743394,0.2153361,0.40122998,0.5753789,0.5899979,0.48393178,0.6125595,0.6229729,0.55986756,0.43472475,0.36059266,0.41266054
M0018,Byerwen Coal Mine, ,Australia,coal,Operating,-21.242828,147.835392,Exact,Byerwen Coal,QCoal [85.0%]; JFE Holdings Inc [15.0%],6.197,Surface,69.97,60.0,Bituminous,Thermal & Met,32.5,0.48835254,0.40137324,0.5898781,0.5724924,0.72869545,0.6299135,0.7490904,0.8055577,0.71730036,0.7973598,0.61442,0.38498014
M0019,Callide Coal Mine, ,Australia,coal,Operating,-24.310921,150.622173,Exact,Batchfire Resources,Batchfire Resources [100%],7.593,Surface,176,50.0,Subbituminous,Thermal,9.1,0.42978138,0.4490363,0.54205334,0.61108375,0.6090489,0.67484516,0.6755271,0.8136257,0.5210029,0.61245775,0.47310257,0.44784802
