country,sensor,date,validation,1,2,3,4,5,6,7,8,9,10,11,12
Algeria,Sentinel-5P/TROPOMI - ESA,11/02/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Libya,Sentinel-5P/TROPOMI - ESA,12/08/2020,1,2,2,2,2,2,2,1,2,2,2,2,2
Spain,Sentinel-5P/TROPOMI - ESA,24/02/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Belarus,Sentinel-5P/TROPOMI - ESA,24/05/2022,1,0,0,2,1,2,2,1,1,2,0,0,0
India,Sentinel-5P/TROPOMI - ESA,15/11/2022,1,2,2,2,2,2,2,1,0,1,2,2,2
Uzbekistan,Sentinel-5P/TROPOMI - ESA,17/01/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,15/04/2019,1,1,2,2,2,2,2,2,2,2,2,1,1
India,Sentinel-5P/TROPOMI - ESA,15/12/2023,0,2,2,2,2,2,2,0,0,1,2,2,1
Russia,Sentinel-5P/TROPOMI - ESA,18/03/2022,1,0,1,2,2,2,2,2,2,1,1,0,0
Iran,Sentinel-5P/TROPOMI - ESA,18/11/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,23/12/2021,1,2,2,2,2,2,1,0,1,0,2,1,2
Algeria,Sentinel-5P/TROPOMI - ESA,18/02/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,12/07/2022,1,1,1,2,2,2,2,2,2,2,2,1,1
Spain,Sentinel-5P/TROPOMI - ESA,14/12/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,16/09/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,11/12/2020,1,2,2,2,1,1,0,0,0,1,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,11/04/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,18/02/2023,0,0,1,2,2,2,2,2,2,2,2,1,0
India,Sentinel-5P/TROPOMI - ESA,27/11/2021,1,2,2,2,2,2,2,0,0,1,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,18/12/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,17/11/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,11/01/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Spain,Sentinel-5P/TROPOMI - ESA,11/05/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,14/03/2022,1,2,2,2,2,2,2,0,0,1,2,2,2
Spain,Sentinel-5P/TROPOMI - ESA,02/03/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,14/11/2023,1,2,2,2,1,1,0,0,0,1,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,11/12/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Kuwait,Sentinel-5P/TROPOMI - ESA,03/05/2019,1,2,2,2,2,2,1,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,10/01/2020,0,0,0,2,2,1,2,2,2,1,1,0,0
Australia,Sentinel-5P/TROPOMI - ESA,21/06/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,01/04/2024,1,2,2,2,2,2,2,2,2,2,2,2,2
