plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20171013t212517-A,35.32914231,-119.6685722,2017-10-13T21:25:17+00,Oil & Gas (1B2),CH4,mf,"[-119.66988312562113, 35.32809026051135, -119.6673492492522, 35.330175483554804]",ang,2023-05-14 20:23:24.207762+00:00,,,,,436.0,112.0,2.43,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t213130-B,35.323788,-119.677383,2017-10-13T21:31:30+00,Oil & Gas (1B2),CH4,mf,"[-119.67917546786435, 35.32267837721644, -119.6764456544544, 35.32492450005307]",ang,2023-05-14 20:23:24.234373+00:00,,,,,116.0,41.0,2.43,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t213130-C,35.32914231,-119.6685722,2017-10-13T21:31:30+00,Oil & Gas (1B2),CH4,mf,"[-119.66985590022043, 35.32751255814295, -119.66712594075621, 35.32975866683965]",ang,2023-05-14 20:23:24.234254+00:00,,,,,111.0,28.0,2.43,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t213605-A,35.31651,-119.671627,2017-10-13T21:36:05+00,Oil & Gas (1B2),CH4,mf,"[-119.67248211368967, 35.315613901440464, -119.66994862150652, 35.31769913006624]",ang,2023-05-14 20:21:18.076495+00:00,,,,,116.0,36.0,2.54,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t214049-B,35.306719,-119.710038,2017-10-13T21:40:49+00,Oil & Gas (1B2),CH4,mf,"[-119.7115176713698, 35.30527764453091, -119.70896246723845, 35.307362879782445]",ang,2023-05-14 20:23:28.951140+00:00,,,,,145.0,48.0,3.31,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t214049-C,35.302579,-119.68979,2017-10-13T21:40:49+00,Oil & Gas (1B2),CH4,mf,"[-119.69200989855162, 35.29919366717403, -119.68463101230282, 35.30521568953266]",ang,2023-05-14 20:23:28.950988+00:00,,,,,544.0,261.0,3.31,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t214536-A,35.300923,-119.690396,2017-10-13T21:45:36+00,Oil & Gas (1B2),CH4,mf,"[-119.6913642218355, 35.29978078629127, -119.68820453313812, 35.30237657015934]",ang,2023-05-14 20:23:24.224052+00:00,,,,,65.0,24.0,3.31,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t175348-A,34.334847,-118.519359,2017-10-16T17:53:48+00,Solid Waste (6A),CH4,mf,"[-118.5204109874724, 34.33371561738398, -118.51790551886563, 34.33578452402666]",ang,2023-05-14 20:23:19.261648+00:00,,,,,593.0,224.0,4.18,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t175348-C,34.324311,-118.508542,2017-10-16T17:53:48+00,Solid Waste (6A),CH4,mf,"[-118.51038642401777, 34.32328189199941, -118.50709709059907, 34.32599840731966]",ang,2023-05-14 20:23:19.261707+00:00,,,,,578.0,221.0,4.18,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t175805-B,34.326006,-118.512997,2017-10-16T17:58:05+00,Solid Waste (6A),CH4,mf,"[-118.51465296144004, 34.32486513006436, -118.51216964760829, 34.32691595881538]",ang,2023-05-14 20:23:24.212208+00:00,,,,,88.0,27.0,4.18,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t180708-B,34.328201222152764,-118.52007230404143,2017-10-16T18:07:08+00,Solid Waste (6A),CH4,mf,"[-118.5211734130844, 34.32700855598732, -118.5186464164, 34.32907741631847]",ang,2024-03-01 21:17:21.317942+00:00,,,,,314.81518736342497,81.24280373257704,3.919921875,0.83984375,20.52926394678096,12.863647332927929,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t180708-C,34.33017,-118.51746,2017-10-16T18:07:08+00,Solid Waste (6A),CH4,mf,"[-118.51862576646637, 34.329186244110026, -118.51609870243061, 34.331255105883265]",ang,2024-03-01 21:17:21.351328+00:00,,,,,136.23134070129515,42.65631857414782,3.919921875,0.83984375,20.52926394678096,12.863647332927929,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t180708-D,34.32814,-118.51594,2017-10-16T18:07:08+00,Solid Waste (6A),CH4,mf,"[-118.51713055686254, 34.3270583684324, -118.51464718090556, 34.32910919488363]",ang,2024-03-01 21:17:21.284996+00:00,,,,,132.93039946753848,58.380495018909315,3.919921875,0.83984375,20.52926394678096,12.863647332927929,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t185727-A,34.330173,-118.517469,2017-10-16T18:57:27+00,Solid Waste (6A),CH4,mf,"[-118.51862386048141, 34.3293849104737, -118.51597043532679, 34.33155721533315]",ang,2023-05-14 20:23:19.256157+00:00,,,,,453.0,197.0,3.99,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t190200-A,34.328168,-118.520114,2017-10-16T19:02:00+00,Solid Waste (6A),CH4,mf,"[-118.521308819355, 34.32663988667472, -118.51852041786461, 34.3289246281008]",ang,2023-05-14 20:21:18.053445+00:00,,,,,271.0,90.0,3.79,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t190200-B,34.327527,-118.514682,2017-10-16T19:02:00+00,Solid Waste (6A),CH4,mf,"[-118.51593043244581, 34.32636010797873, -118.5134470758995, 34.32841093546712]",ang,2023-05-14 20:21:18.053253+00:00,,,,,51.0,14.0,3.79,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t190200-C,34.330173,-118.517469,2017-10-16T19:02:00+00,Solid Waste (6A),CH4,mf,"[-118.51874031787864, 34.329084629183996, -118.51625688391087, 34.3311354540121]",ang,2023-05-14 20:21:18.053312+00:00,,,,,53.0,15.0,3.79,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t191057-A,34.44705,-118.588342,2017-10-16T19:10:57+00,Oil & Gas (1B2),CH4,mf,"[-118.58941746046237, 34.44522386062291, -118.58675615521094, 34.44741852323502]",ang,2023-05-14 20:23:24.228186+00:00,,,,,490.0,170.0,3.14,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t191057-C,34.444897,-118.587369,2017-10-16T19:10:57+00,Oil & Gas (1B2),CH4,mf,"[-118.58844782828113, 34.44359273197909, -118.58596108842151, 34.4456434799201]",ang,2023-05-14 20:23:24.228242+00:00,,,,,140.0,38.0,3.14,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t191057-D,34.429025,-118.589925,2017-10-16T19:10:57+00,Waste Water (6B),CH4,mf,"[-118.5916151532348, 34.42807867427919, -118.58908519723447, 34.430147459145566]",ang,2023-05-14 20:23:24.228129+00:00,,,,,90.0,28.0,3.14,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171016t191530-A,34.44705,-118.588342,2017-10-16T19:15:30+00,Oil & Gas (1B2),CH4,mf,"[-118.58996608982784, 34.44540158726798, -118.58752068920386, 34.44743529032429]",ang,2023-05-14 20:21:18.071938+00:00,,,,,394.0,115.0,3.14,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
